t;water_root_shoot_xylem;AA_root_shoot_phloem;soil_temperature
253;0;2.28945016406804E-07;7.99944152
254;0;2.29849937420269E-07;7.99956048
255;0;2.30754858433735E-07;7.999682
256;0;2.31659779447201E-07;7.99980608
257;0;2.32564700460666E-07;7.99993272
258;0;2.33469621474132E-07;8.00006192
259;0;2.34374542487597E-07;8.00019368
260;0;2.35279463501063E-07;8.000328
261;0;2.36184384514529E-07;8.00046488
262;0;2.37089305527994E-07;8.00060432
263;0;2.3799422654146E-07;8.00074632
264;0;2.38899147554926E-07;8.00089088
265;0;2.39804068568391E-07;8.001038
266;0;2.40708989581857E-07;8.00118768
267;0;2.41613910595322E-07;8.00133992
268;0;2.42518831608788E-07;8.00149472
269;0;2.43423752622254E-07;8.00165208
270;0;2.44328673635719E-07;8.001812
271;0;2.45233594649185E-07;8.00197448
272;0;2.46138515662651E-07;8.00213952
273;0;2.47043436676116E-07;8.00230712
274;0;2.47948357689582E-07;8.00247728
275;0;2.48853278703047E-07;8.00265
276;0;2.49758199716513E-07;8.00282528
277;0;2.50663120729979E-07;8.00300312
278;0;2.51568041743444E-07;8.00318352
279;0;2.5247296275691E-07;8.00336648
280;0;2.53377883770376E-07;8.003552
281;0;2.54282804783841E-07;8.00374008
282;0;2.55187725797307E-07;8.00393072
283;0;2.56092646810773E-07;8.00412392
284;0;2.56997567824238E-07;8.00431968
285;0;2.57902488837704E-07;8.004518
286;0;2.58807409851169E-07;8.00471888
287;0;2.59712330864635E-07;8.00492232
288;1.35427066068887E-07;2.60617251878101E-07;8.00512832
289;1.35511314355596E-07;2.61522172891566E-07;8.00533688
290;1.35595615052578E-07;2.62427093905032E-07;8.005548
291;1.35679968192447E-07;2.63332014918498E-07;8.00576168
292;1.35764373807909E-07;2.64236935931963E-07;8.00597792
293;1.35848831931456E-07;2.65141856945429E-07;8.00619672
294;1.35933342595917E-07;2.66046777958894E-07;8.00641808
295;1.36017905833935E-07;2.6695169897236E-07;8.006642
296;1.36102521678097E-07;2.67856619985826E-07;8.00686848
297;1.36187190161259E-07;2.68761540999291E-07;8.00709752
298;1.36271911316158E-07;2.69666462012757E-07;8.00732912
299;1.36356685175532E-07;2.70571383026223E-07;8.00756328
300;2.49667625044118E-06;2.71476304039688E-07;8.0078
301;0.0000104105794039538;1.26928355259573E-06;8.00803928
302;0.0000101111814069059;1.23272516476382E-06;8.00828112
303;9.34552524133011E-06;1.13932770077207E-06;8.00852552
304;8.11274108892637E-06;9.88992764941859E-07;8.00877248
305;6.41195804929624E-06;7.81621868237515E-07;8.009022
306;4.24230413888757E-06;5.17116428270021E-07;8.00927408
307;1.35427066068887E-07;1.65071646655363E-08;8.00952872
308;1.35511314355596E-07;1.65166902706193E-08;8.00978592
309;1.35595615052578E-07;1.65262203877245E-08;8.01004568
310;1.35679968192447E-07;1.65357550169708E-08;8.010308
311;1.35764373807909E-07;1.6545294158482E-08;8.01057288
312;1.35848831931456E-07;1.65548378123469E-08;8.01084032
313;1.35933342595917E-07;1.6564385978689E-08;8.01111032
314;1.36017905833935E-07;1.65739386576011E-08;8.01138288
315;1.36102521678097E-07;1.65834958491606E-08;8.011658
316;1.36187190161259E-07;1.65930575534722E-08;8.01193568
317;1.36271911316158E-07;1.66026237706171E-08;8.01221592
318;1.36356685175532E-07;1.66121945006689E-08;8.01249872
319;2.50117391836664E-06;3.04701526830474E-07;8.01278408
320;5.01841148678171E-06;6.11332026534467E-07;8.013072
321;7.06765389727531E-06;8.60926880423673E-07;8.01336248
322;8.64802481781424E-06;1.05338713261203E-06;8.01365552
323;9.75864682482062E-06;1.18861373382835E-06;8.01395112
324;0.0000103986414020724;1.26650754141831E-06;8.01424928
325;0.0000105671289395317;1.28696931933791E-06;8.01455
326;0.0000102632287322271;1.24989973815399E-06;8.01485328
327;9.48605897912793E-06;1.15519937504417E-06;8.01515912
328;8.23473678200442E-06;1.00276871379554E-06;8.01546752
329;6.50837814426312E-06;7.92508144800403E-07;8.01577848
330;4.30609796984951E-06;5.24317965061133E-07;8.016092
331;1.37463556400093E-07;1.67370246916473E-08;8.01640808
332;1.37549071573949E-07;1.67466586076137E-08;8.01672672
333;1.37634639946291E-07;1.67562970370317E-08;8.01704792
334;1.3772026155019E-07;1.6765939979892E-08;8.01737168
335;1.37805936418688E-07;1.67755874361736E-08;8.017698
336;1.37891664584919E-07;1.67852394058592E-08;8.01802688
337;1.37977446082138E-07;1.67948958889386E-08;8.01835832
338;1.3806328094348E-07;1.68045568853787E-08;8.01869232
339;1.38149169202016E-07;1.68142223951304E-08;8.01902888
340;1.38235110891186E-07;1.68238924181825E-08;8.019368
341;1.38321106044062E-07;1.68335669544702E-08;8.01970968
342;1.38407154693961E-07;1.68432460039508E-08;8.02005392
343;2.53878542874744E-06;3.08939026931752E-07;8.02040072
344;5.09387606537153E-06;6.19832937553591E-07;8.02075008
345;7.17393404675772E-06;8.72897255308751E-07;8.021102
346;8.77806986298866E-06;1.06803190362638E-06;8.02145648
347;9.90539289620324E-06;0.0000012051367125502;8.02181352
348;0.0000105550114194346;1.28411141873923E-06;8.02217312
349;0.0000107260325954832;1.30485566547343E-06;8.02253528
350;0.0000104175624757412;1.26726900265354E-06;8.0229
351;9.62870599905369E-06;1.17125088680603E-06;8.02326728
352;8.35856699056237E-06;1.01670068108626E-06;8.02363712
353;6.60624816055533E-06;8.03517655282816E-07;8.02400952
354;0.0000043708511032893;5.31600985818842E-07;8.02438448
355;1.39530670542158E-07;1.69694843151264E-08;8.024762
356;1.39617471654228E-07;1.69792265410108E-08;8.02514208
357;1.39704326764599E-07;1.69889732786669E-08;8.02552472
358;1.39791235907016E-07;1.69987245279754E-08;8.02590992
359;1.3987819911504E-07;1.7008480288785E-08;8.02629768
360;1.39965216422293E-07;1.70182405609443E-08;8.026688
361;1.40052287862458E-07;1.70280053443012E-08;8.02708088
362;1.40139413469158E-07;1.70377746386868E-08;8.02747632
363;1.40226593276107E-07;1.70475484439366E-08;8.02787432
364;1.40313827317139E-07;1.70573267598919E-08;8.02827488
365;1.40401115625848E-07;1.70671095863556E-08;8.028678
366;1.40488458235977E-07;1.70768969231411E-08;8.02908368
367;2.57696252383355E-06;3.13224177509419E-07;8.02949192
368;5.17047544580855E-06;6.28429394705476E-07;8.02990272
369;7.28181238855931E-06;8.85002106285248E-07;8.03031608
370;8.91007046612555E-06;0.0000010828411152811;8.030732
371;0.0000100543456679432;1.22184513140332E-06;8.03115048
372;0.0000107137328576577;1.30191277104457E-06;8.03157152
373;0.0000108873257719994;1.32294255729271E-06;8.03199512
374;0.000010574217019562;1.28483291993181E-06;8.03242128
375;9.77349807967582E-06;1.18748219545548E-06;8.03285
376;0.0000084842593012131;1.03078862707216E-06;8.03328128
377;6.70558990142348E-06;8.14650364714702E-07;8.03371512
378;4.43657796475923E-06;5.38965465048956E-07;8.03415152
379;1.41628869002103E-07;1.7204542646787E-08;8.03459048
380;1.4171697538956E-07;1.72143931055265E-08;8.035032
381;1.41805136587473E-07;1.72242480711282E-08;8.03547608
382;1.4189335262986E-07;1.72341075433024E-08;8.03592272
383;1.41981623550803E-07;1.72439715217595E-08;8.03637192
384;1.42069949384594E-07;1.72538400062275E-08;8.03682368
385;1.42158330165253E-07;1.7263712996391E-08;8.037278
386;1.42246765927075E-07;1.7273590491961E-08;8.03773488
387;1.42335256704108E-07;1.72834724926082E-08;8.03819432
388;1.42423802530739E-07;1.72933589980371E-08;8.03865632
389;1.42512403441139E-07;1.7303250007917E-08;8.03912088
390;1.42601059469603E-07;1.7313145521923E-08;8.039588
391;2.61571370862857E-06;3.1755694530098E-07;8.04005768
392;0.0000052482266927225;6.37121328412328E-07;8.04052992
393;7.39131295556599E-06;8.97241331360409E-07;8.04100472
394;9.04405603400988E-06;0.0000010978146378719;8.04148208
395;0.0000102055383233942;1.23873883848465E-06;8.041962
396;0.0000108748410763387;1.31991143055634E-06;8.04244448
397;0.0000110510444015896;0.000001341229818281;8.04292952
398;0.0000107332272628252;1.30259131270066E-06;8.04341712
399;9.92046747743889E-06;1.20389313171451E-06;8.04390728
400;8.61184171538857E-06;1.04503240009712E-06;8.0444
401;6.80642549799369E-06;8.25906149510368E-07;8.04489528
402;4.50329319673713E-06;5.46411318516494E-07;8.04539312
403;1.43758619211618E-07;1.74421969187136E-08;8.04589352
404;1.43848050502693E-07;1.74521554525382E-08;8.04639648
405;1.4393753742838E-07;1.74621184848189E-08;8.046902
406;1.44027080023307E-07;1.74720860151301E-08;8.04741008
407;1.44116678322044E-07;1.7482058043029E-08;8.04792072
