t;sucrose_input_rate
490;9.94334921585501E-10
491;1.12668801830475E-09
492;1.20553125409055E-09
493;1.2300882275423E-09
494;1.19958307410468E-09
495;1.11324047109089E-09
496;9.70285642706437E-10
497;7.69944365073533E-10
498;5.11442971256003E-10
499;1.63914650854458E-11
500;1.64662607088077E-11
501;1.65410291400675E-11
502;1.6615770233481E-11
503;1.66904838432938E-11
504;1.67651698237421E-11
505;1.6839828029052E-11
506;1.69144583134403E-11
507;1.69890605311143E-11
508;1.70636345362721E-11
509;1.71381801831028E-11
510;1.72126973257863E-11
511;3.16899583782104E-10
512;6.38176110546127E-10
513;9.02063968219646E-10
514;1.10779178787413E-09
515;1.25458879472603E-09
516;1.34168481316661E-09
517;1.3683102717922E-09
518;1.33369620843488E-09
519;1.23707427519354E-09
520;1.07767674346534E-09
521;8.54736508977558E-10
522;5.67487096819795E-10
523;1.81787599399294E-11
524;1.82528627088306E-11
525;1.83269347853203E-11
526;1.84009760234568E-11
527;1.84749862772927E-11
528;1.8548965400874E-11
529;1.86229132482411E-11
530;1.86968296734287E-11
531;1.87707145304658E-11
532;1.8844567673376E-11
533;1.89183889561779E-11
534;1.89921782328847E-11
535;3.49506683311406E-10
536;7.03532040358755E-10
537;9.94012230156205E-10
538;1.22018336558272E-09
539;1.38128222612969E-09
540;1.47654626293605E-09
541;1.50521360382367E-09
542;1.46652305833289E-09
543;1.35971412275828E-09
544;1.18402698518455E-09
545;9.3870253052271E-10
546;6.22982345546261E-10
547;1.994845984339E-11
548;2.00217857037542E-11
549;2.00950773677358E-11
550;2.01683346892912E-11
551;2.02415575223746E-11
552;2.03147457209384E-11
553;2.03878991389332E-11
554;2.04610176303083E-11
555;2.05341010490116E-11
556;2.06071492489899E-11
557;2.0680162084189E-11
558;2.07531394085541E-11
559;3.81772747403782E-10
560;7.68201043401061E-10
561;1.08498931312949E-09
562;1.33138202120634E-09
563;1.50662437138361E-09
564;1.60996231158502E-09
565;1.64064253894299E-09
566;1.59791250483562E-09
567;1.48102041992359E-09
568;1.28921525918702E-09
569;1.02174676696234E-09
570;6.7786546197893E-10
571;2.16985466842652E-11
572;2.17710115212318E-11
573;2.1843438656583E-11
574;2.19158279442781E-11
575;2.19881792382795E-11
576;2.2060492392552E-11
577;2.21327672610637E-11
578;2.22050036977855E-11
579;2.22772015566922E-11
580;2.23493606917619E-11
581;2.24214809569765E-11
582;2.24935622063222E-11
583;4.13660770675764E-10
584;8.32108916251679E-10
585;1.17489077661707E-09
586;1.44126003847017E-09
587;1.63047120016916E-09
588;1.74177957676717E-09
