t;cytokinins_root_shoot_xylem;AA_root_shoot_phloem;water_root_shoot_xylem
1431;0.00367191;0.00000003122925;0.00000004051
1432;0.00250966;0.00000003880699;0.00000002758
1433;0.00255568;0.00000005380524;0.00000002797
1434;0.00196545;0.00000007018247;0.00000002142
1435;0.00200184;0.00000008543131;0.00000002172
1436;0.00317668;0.00000008656143;0.00000003432
1437;0.03319515;0.00000072166596;0.00000035707
1438;0.04647889;0.00000130227435;0.00000049866
1439;0.09590966;0.00000204548707;0.00000102683
1440;0.09974153;0.00000255273856;0.00000106858
1441;0.14314618;0.00000312392634;0.00000153414
1442;0.12071024;0.00000330989001;0.00000129663
1443;0.04561777;0.00000275356441;0.00000049034
1444;0.01511603;0.00000203409608;0.00000016181
1445;0.00527107;0.00000142984904;0.00000005609
1446;0.0027453;0.00000103228835;0.00000002903
1447;0.00081113;0.00000070493108;0.00000000852
1448;0.00082352;0.00000055581743;0.0000000086
1449;0.0008135;0.00000049070931;0.00000000844
1450;0.00082499;0.00000045292039;0.00000000851
1451;0.00082009;0.0000004187189;0.00000000841
1452;0.00090317;0.00000037465058;0.00000000921
1453;0.00091572;0.00000034914149;0.00000000928
1454;0.00454551;0.00000032560875;0.00000004581
1455;0.00663346;0.00000032898761;0.00000006649
1456;0.00584549;0.00000033940774;0.00000005827
1457;0.00592782;0.00000034808855;0.00000005876
1458;0.00715485;0.00000035834186;0.00000007052
1459;0.00507747;0.00000035269429;0.00000004975
1460;0.00637147;0.00000037301477;0.00000006206
1461;0.02381113;0.0000005608069;0.00000023053
1462;0.0260052;0.00000074819726;0.00000025044
1463;0.06390775;0.00000105400247;0.00000061213
1464;0.0690828;0.00000114507236;0.00000065929
1465;0.39864358;0.00000195951024;0.00000379302
1466;0.47185821;0.00000288970711;0.00000455419
1467;0.32180522;0.00000348689975;0.00000316623
1468;0.24865972;0.00000356593772;0.00000247183
1469;0.08918155;0.00000285730894;0.00000089248
1470;0.03338393;0.00000192341672;0.00000033346
1471;0.01904891;0.00000124458538;0.00000018941
1472;0.01928707;0.00000085500485;0.00000019089
1473;0.01746323;0.00000066801381;0.00000017211
1474;0.01920788;0.00000059974348;0.00000018841
1475;0.01906472;0.00000054810245;0.00000018609
1476;0.01532417;0.00000047450926;0.00000014886
1477;0.01358241;0.00000042961378;0.00000013134
1478;0.01583718;0.00000041355254;0.00000015243
1479;0.01765672;0.00000043276278;0.00000016915
1480;0.01524637;0.00000042613382;0.00000014535
1481;0.01244679;0.00000042464969;0.00000011809
1482;0.01189299;0.0000004448173;0.00000011227
1483;0.01197641;0.00000045545823;0.00000011245
1484;0.04375806;0.00000052871625;0.00000040868
1485;0.13097706;0.00000116010278;0.00000121867
1486;0.21235939;0.00000202539746;0.00000197748
1487;0.10403597;0.00000221125045;0.00000097349
1488;0.20844189;0.00000283842905;0.00000195064
1489;0.19669378;0.00000313969528;0.00000184976
1490;0.1954877;0.00000343753799;0.00000184709
1491;0.21150872;0.00000362370643;0.0000020065
1492;0.12002597;0.00000333350985;0.00000114444
1493;0.06951142;0.00000274915536;0.00000066259
1494;0.02238645;0.00000192145505;0.00000021272
1495;0.01834839;0.00000135518661;0.00000017339
1496;0.01594807;0.00000101437115;0.0000001499
1497;0.0218247;0.00000088885787;0.00000020403
1498;0.01896516;0.00000084450237;0.00000017631
1499;0.01256833;0.00000073877036;0.00000011614
1500;0.00788279;0.00000065936295;0.00000007244
1501;0.00540542;0.00000064423168;0.00000004938
1502;0.00425659;0.00000060870198;0.00000003866
1503;0.00297915;0.0000005886224;0.00000002689
1504;0.00465956;0.00000057565978;0.00000004179
1505;0.00466658;0.00000056700967;0.00000004159
1506;0.00309525;0.00000056774354;0.00000002741
1507;0.00471441;0.00000057414262;0.00000004148
1508;0.01294982;0.00000058047189;0.00000011321
1509;0.06739461;0.0000009438956;0.00000058554
1510;0.16445731;0.0000016800444;0.00000142398
1511;0.18938995;0.00000234610375;0.00000164242
1512;0.28599679;0.00000301086656;0.00000248717
1513;0.28564572;0.0000035623619;0.00000250368
1514;0.33403322;0.00000406631816;0.00000295078
1515;0.37341888;0.00000458761327;0.00000333333
1516;0.15858558;0.00000409876718;0.00000143363
1517;0.05703676;0.00000298041094;0.00000051614
1518;0.03153761;0.00000198308307;0.00000028409
1519;0.02327795;0.00000145821092;0.00000020844
1520;0.01098072;0.00000117700907;0.00000009769
1521;0.00646201;0.00000106487721;0.00000005708
1522;0.00486146;0.00000099605505;0.00000004263
1523;0.00834976;0.00000097048189;0.00000007266
1524;0.00862813;0.00000093364185;0.00000007454
1525;0.01045686;0.0000009236119;0.00000008967
1526;0.01041518;0.00000090275776;0.00000008866
1527;0.00696446;0.00000089599692;0.00000005885
1528;0.00703461;0.00000088474451;0.000000059
1529;0.00900359;0.00000087553063;0.00000007494
1530;0.01106171;0.00000082860396;0.00000009139
1531;0.01321149;0.00000078421215;0.00000010834
1532;0.02216764;0.00000073597257;0.00000018046
1533;0.0433154;0.00000093949508;0.00000035018
1534;0.10522717;0.00000137024699;0.00000084564
1535;0.14288816;0.00000189767132;0.00000114484
1536;0.13505717;0.00000223596662;0.00000108072
1537;0.13675806;0.00000238567194;0.00000109248
1538;0.1694986;0.00000258778578;0.00000135179
1539;0.07233492;0.00000229310555;0.00000057682
1540;0.05284094;0.00000190191819;0.00000041936
1541;0.02376984;0.00000149549666;0.00000018757
1542;0.00715071;0.00000115303482;0.00000005603
1543;0.00957011;0.00000090815391;0.0000000744
1544;0.0096706;0.00000079299619;0.00000007461
1545;0.00964152;0.00000071769773;0.00000007382
1546;0.00974246;0.00000063705482;0.00000007402
1547;0.00728361;0.00000062359226;0.00000005492
1548;0.01427871;0.00000060974983;0.00000010683
1549;0.00918761;0.00000058604497;0.00000006823
1550;0.00691625;0.00000057388183;0.00000005097
1551;0.00463067;0.00000056020404;0.00000003386
1552;0.0046739;0.00000054680769;0.00000003391
1553;0.00478503;0.00000052078044;0.00000003444
1554;0.0073478;0.00000050055671;0.00000005247
1555;0.00491725;0.00000048197472;0.00000003484
1556;0.00902787;0.00000054954955;0.00000006346
1557;0.04329099;0.00000074355752;0.00000030194
1558;0.11354987;0.00000107642875;0.00000078698
1559;0.17325155;0.0000015190084;0.00000119668
1560;0.44091902;0.00000242691136;0.00000304276
1561;0.48374367;0.00000354729481;0.00000337285
1562;0.46058501;0.00000457312145;0.00000325102
1563;0.40431842;0.00000537083848;0.00000288686
1564;0.45940799;0.00000600097275;0.0000033108
1565;0.1325391;0.00000522127766;0.00000096658
1566;0.04010144;0.00000398886281;0.00000029178
