t;sucrose_input_rate
953;7.28613329672172e-11
954;5.87188841164036e-11
955;4.71799546587082e-11
956;3.8168695521627e-11
957;3.1133869340434e-11
958;2.56290722477918e-11
959;2.13160911629843e-11
960;1.7918331538903e-11
961;5.65792751415558e-11
962;1.01042886047455e-10
963;1.39864951577475e-10
964;1.7080341417064e-10
965;1.94535680870408e-10
966;2.12226806186379e-10
967;2.25329039647107e-10
968;2.35536251698071e-10
969;2.43288792045917e-10
970;2.48704651155873e-10
971;2.52372789965434e-10
972;2.55317959217358e-10
973;1.78366252376288e-10
974;1.37344686953019e-10
975;1.0521297753871e-10
976;8.11500581441404e-11
977;6.32610273293948e-11
978;4.93493414309678e-11
979;3.88692015644107e-11
980;3.10763695962623e-11
981;2.52697467316783e-11
982;2.0925054701877e-11
983;1.7668466092202e-11
984;1.52182562403828e-11
985;6.49893824828431e-11
986;1.17524520689313e-10
987;1.59413023181938e-10
988;1.90561025285558e-10
989;2.12932778164102e-10
990;2.29406862468325e-10
991;2.39896956792639e-10
992;2.47522048468122e-10
993;2.52751661792013e-10
994;2.56257982861589e-10
995;2.58420967292286e-10
996;2.59765820027132e-10
997;1.75085139833891e-10
998;1.30387219904091e-10
999;9.67201053148551e-11
1000;7.2695288593694e-11
1001;5.55992901623643e-11
1002;4.24699316501249e-11
1003;3.31520206550907e-11
1004;2.65312574568513e-11
1005;2.18015161192711e-11
1006;1.84274886539536e-11
1007;1.60067475607576e-11
1008;1.4267116920917e-11
1009;7.47421805371705e-11
1010;1.33485695468844e-10
1011;1.770216067963e-10
1012;2.07249870355951e-10
1013;2.27055289525013e-10
1014;2.40870089882442e-10
1015;2.49546015936248e-10
1016;2.55356742477531e-10
1017;2.58946321963832e-10
1018;2.61133241066319e-10
1019;2.62373624367921e-10
1020;2.62929488891328e-10
1021;1.70903645680874e-10
1022;1.22456927438263e-10
1023;8.82905127413669e-11
1024;6.42614223411512e-11
1025;4.78047395664424e-11
1026;3.63139051613053e-11
1027;2.84720885670878e-11
1028;2.313080797751e-11
1029;1.94971533490537e-11
1030;1.69953668559028e-11
1031;1.52990196871242e-11
1032;1.41334961377456e-11
1033;8.34487549299752e-11
1034;1.46033665754199e-10
1035;1.89597414107999e-10
1036;2.18017575123747e-10
1037;2.36150831962912e-10
1038;2.47529325293347e-10
1039;2.54355582239892e-10
1040;2.58826028269663e-10
1041;2.60692337462115e-10
1042;2.6268183800671e-10
1043;2.63650889937784e-10
